"Parámetro","Fecha","Hora","Valor","Unidad"
"NO","2021-06-13","18:00 - 19:00","0.003","ppm"
"NO","2021-06-13","19:00 - 20:00","0.003","ppm"
"NO","2021-06-13","20:00 - 21:00","0.003","ppm"
"NO","2021-06-13","21:00 - 22:00","0.005","ppm"
"NO","2021-06-13","22:00 - 23:00","0.003","ppm"
"NO","2021-06-14","3:00 - 4:00","0.002","ppm"
"NO","2021-06-14","4:00 - 5:00","0.003","ppm"
"NO","2021-06-14","5:00 - 6:00","0.016","ppm"
"NO","2021-06-14","6:00 - 7:00","0.024","ppm"
"NO","2021-06-14","7:00 - 8:00","0.028","ppm"
"NO","2021-06-14","8:00 - 9:00","0.028","ppm"
"NO","2021-06-14","9:00 - 10:00","0.017","ppm"
"NO","2021-06-14","10:00 - 11:00","0.012","ppm"
"NO","2021-06-14","11:00 - 12:00","0.010","ppm"
"NO","2021-06-14","12:00 - 13:00","0.012","ppm"
"NO","2021-06-14","13:00 - 14:00","0.007","ppm"
"NO","2021-06-14","14:00 - 15:00","0.007","ppm"
"NO","2021-06-14","15:00 - 16:00","0.010","ppm"
"NO","2021-06-14","16:00 - 17:00","0.010","ppm"
"NO","2021-06-14","17:00 - 18:00","0.012","ppm"
"NO","2021-06-14","18:00 - 19:00","0.012","ppm"
"NO","2021-06-14","19:00 - 20:00","0.016","ppm"
"NO","2021-06-14","20:00 - 21:00","0.026","ppm"
"NO","2021-06-14","21:00 - 22:00","0.021","ppm"
"NO","2021-06-15","23:00 - 0:00","0.009","ppm"
"NO","2021-06-15","6:00 - 7:00","0.018","ppm"
"NO","2021-06-15","7:00 - 8:00","0.021","ppm"
"NO","2021-06-15","8:00 - 9:00","0.030","ppm"
"NO","2021-06-15","9:00 - 10:00","0.037","ppm"
"NO","2021-06-15","10:00 - 11:00","0.019","ppm"
"NO","2021-06-15","11:00 - 12:00","0.013","ppm"
"NO","2021-06-15","12:00 - 13:00","0.007","ppm"
"NO","2021-06-15","15:00 - 16:00","0.006","ppm"
"NO","2021-06-15","16:00 - 17:00","0.007","ppm"
"NO","2021-06-15","17:00 - 18:00","0.006","ppm"
"NO","2021-06-15","18:00 - 19:00","0.006","ppm"
"NO","2021-06-15","19:00 - 20:00","0.008","ppm"
"NO","2021-06-15","20:00 - 21:00","0.006","ppm"
"NO","2021-06-15","21:00 - 22:00","0.006","ppm"
"NO","2021-06-15","22:00 - 23:00","0.004","ppm"
"NO","2021-06-16","23:00 - 0:00","0.002","ppm"
"NO","2021-06-16","7:00 - 8:00","0.029","ppm"
"NO","2021-06-16","8:00 - 9:00","0.017","ppm"
"NO","2021-06-16","9:00 - 10:00","0.010","ppm"
"NO","2021-06-16","10:00 - 11:00","0.008","ppm"
"NO","2021-06-16","11:00 - 12:00","0.004","ppm"
"NO","2021-06-16","12:00 - 13:00","0.003","ppm"
"NO","2021-06-16","13:00 - 14:00","0.003","ppm"
"NO","2021-06-17","10:00 - 11:00","0.012","ppm"
"NO","2021-06-17","11:00 - 12:00","0.006","ppm"
"NO","2021-06-17","12:00 - 13:00","0.006","ppm"
"NO","2021-06-17","13:00 - 14:00","0.004","ppm"
"NO","2021-06-17","15:00 - 16:00","0.004","ppm"
"NO","2021-06-17","16:00 - 17:00","0.005","ppm"
"NO","2021-06-17","17:00 - 18:00","0.006","ppm"
"NO","2021-06-17","18:00 - 19:00","0.006","ppm"
"NO","2021-06-17","19:00 - 20:00","0.006","ppm"
"NO","2021-06-17","20:00 - 21:00","0.005","ppm"
"NO","2021-06-17","21:00 - 22:00","0.004","ppm"
"NO","2021-06-17","22:00 - 23:00","0.004","ppm"
"NO","2021-06-18","23:00 - 0:00","0.004","ppm"
"NO","2021-06-18","0:00 - 1:00","0.002","ppm"
"NO","2021-06-18","1:00 - 2:00","0.001","ppm"
"NO","2021-06-18","2:00 - 3:00","0.002","ppm"
"NO","2021-06-18","3:00 - 4:00","0.001","ppm"
"NO","2021-06-18","4:00 - 5:00","0.004","ppm"
"NO","2021-06-18","5:00 - 6:00","0.005","ppm"
"NO","2021-06-18","6:00 - 7:00","0.012","ppm"
"NO","2021-06-18","7:00 - 8:00","0.025","ppm"
"NO","2021-06-18","8:00 - 9:00","0.038","ppm"
"NO","2021-06-18","9:00 - 10:00","0.018","ppm"
"NO","2021-06-18","10:00 - 11:00","0.012","ppm"
"NO","2021-06-18","11:00 - 12:00","0.010","ppm"
"NO","2021-06-18","12:00 - 13:00","0.008","ppm"
"NO","2021-06-18","13:00 - 14:00","0.006","ppm"
"NO","2021-06-18","14:00 - 15:00","0.005","ppm"
"NO","2021-06-18","15:00 - 16:00","0.006","ppm"
"NO","2021-06-18","17:00 - 18:00","0.013","ppm"
"NO","2021-06-18","18:00 - 19:00","0.020","ppm"
"NO","2021-06-18","19:00 - 20:00","0.012","ppm"
"NO","2021-06-18","20:00 - 21:00","0.019","ppm"
"NO","2021-06-18","21:00 - 22:00","0.015","ppm"
"NO","2021-06-18","22:00 - 23:00","0.029","ppm"
"NO","2021-06-19","23:00 - 0:00","0.056","ppm"
"NO","2021-06-19","4:00 - 5:00","0.009","ppm"
"NO","2021-06-19","5:00 - 6:00","0.024","ppm"
"NO","2021-06-19","6:00 - 7:00","0.012","ppm"
"NO","2021-06-19","7:00 - 8:00","0.018","ppm"
"NO","2021-06-19","8:00 - 9:00","0.018","ppm"
"NO","2021-06-19","9:00 - 10:00","0.010","ppm"
"NO","2021-06-19","10:00 - 11:00","0.006","ppm"
"NO","2021-06-19","11:00 - 12:00","0.005","ppm"
"NO","2021-06-19","12:00 - 13:00","0.004","ppm"
"NO","2021-06-19","13:00 - 14:00","0.004","ppm"
"NO","2021-06-19","14:00 - 15:00","0.004","ppm"
"NO","2021-06-19","15:00 - 16:00","0.004","ppm"
"NO","2021-06-19","16:00 - 17:00","0.004","ppm"
"NO","2021-06-19","17:00 - 18:00","0.004","ppm"
"NO","2021-06-19","18:00 - 19:00","0.004","ppm"
"NO","2021-06-19","19:00 - 20:00","0.003","ppm"
"NO","2021-06-19","20:00 - 21:00","0.004","ppm"
"NO","2021-06-19","21:00 - 22:00","0.003","ppm"
"NO","2021-06-19","22:00 - 23:00","0.003","ppm"
"NO","2021-06-20","23:00 - 0:00","0.003","ppm"
"NO","2021-06-20","0:00 - 1:00","0.003","ppm"
"NO","2021-06-20","1:00 - 2:00","0.002","ppm"
"NO","2021-06-20","2:00 - 3:00","0.003","ppm"
"NO","2021-06-20","3:00 - 4:00","0.006","ppm"
"NO","2021-06-20","4:00 - 5:00","0.010","ppm"
"NO","2021-06-20","5:00 - 6:00","0.016","ppm"
"NO","2021-06-20","6:00 - 7:00","0.020","ppm"
"NO","2021-06-20","7:00 - 8:00","0.038","ppm"
