"Parámetro","Fecha","Hora","Valor","Unidad"
"SO2","2021-05-12","18:00 - 19:00","0.008","ppm"
"SO2","2021-05-12","19:00 - 20:00","0.002","ppm"
"SO2","2021-05-12","20:00 - 21:00","0.001","ppm"
"SO2","2021-05-12","21:00 - 22:00","0.001","ppm"
"SO2","2021-05-12","22:00 - 23:00","0.001","ppm"
"SO2","2021-05-13","23:00 - 0:00","0.001","ppm"
"SO2","2021-05-13","0:00 - 1:00","0.001","ppm"
"SO2","2021-05-13","1:00 - 2:00","0.001","ppm"
"SO2","2021-05-13","2:00 - 3:00","0.001","ppm"
"SO2","2021-05-13","3:00 - 4:00","0.001","ppm"
"SO2","2021-05-13","4:00 - 5:00","0.001","ppm"
"SO2","2021-05-13","5:00 - 6:00","0.001","ppm"
"SO2","2021-05-13","6:00 - 7:00","0.001","ppm"
"SO2","2021-05-13","7:00 - 8:00","0.001","ppm"
"SO2","2021-05-13","8:00 - 9:00","0.002","ppm"
"SO2","2021-05-13","9:00 - 10:00","0.005","ppm"
"SO2","2021-05-13","10:00 - 11:00","0.004","ppm"
"SO2","2021-05-13","11:00 - 12:00","0.003","ppm"
"SO2","2021-05-13","12:00 - 13:00","0.002","ppm"
"SO2","2021-05-13","13:00 - 14:00","0.002","ppm"
"SO2","2021-05-13","14:00 - 15:00","0.002","ppm"
"SO2","2021-05-13","15:00 - 16:00","0.002","ppm"
"SO2","2021-05-13","16:00 - 17:00","0.001","ppm"
"SO2","2021-05-13","17:00 - 18:00","0.001","ppm"
"SO2","2021-05-13","18:00 - 19:00","0.001","ppm"
"SO2","2021-05-13","19:00 - 20:00","0.002","ppm"
"SO2","2021-05-13","20:00 - 21:00","0.001","ppm"
"SO2","2021-05-13","21:00 - 22:00","0.001","ppm"
"SO2","2021-05-13","22:00 - 23:00","0.001","ppm"
"SO2","2021-05-14","23:00 - 0:00","0.001","ppm"
"SO2","2021-05-14","4:00 - 5:00","0.002","ppm"
"SO2","2021-05-14","5:00 - 6:00","0.002","ppm"
"SO2","2021-05-14","6:00 - 7:00","0.001","ppm"
"SO2","2021-05-14","7:00 - 8:00","0.001","ppm"
"SO2","2021-05-14","8:00 - 9:00","0.003","ppm"
"SO2","2021-05-14","9:00 - 10:00","0.010","ppm"
"SO2","2021-05-14","10:00 - 11:00","0.011","ppm"
"SO2","2021-05-14","11:00 - 12:00","0.003","ppm"
"SO2","2021-05-14","12:00 - 13:00","0.002","ppm"
"SO2","2021-05-14","13:00 - 14:00","0.002","ppm"
"SO2","2021-05-14","14:00 - 15:00","0.002","ppm"
"SO2","2021-05-14","15:00 - 16:00","0.002","ppm"
"SO2","2021-05-14","16:00 - 17:00","0.002","ppm"
"SO2","2021-05-14","17:00 - 18:00","0.002","ppm"
"SO2","2021-05-14","18:00 - 19:00","0.001","ppm"
"SO2","2021-05-14","19:00 - 20:00","0.002","ppm"
"SO2","2021-05-14","20:00 - 21:00","0.003","ppm"
"SO2","2021-05-14","21:00 - 22:00","0.002","ppm"
"SO2","2021-05-14","22:00 - 23:00","0.002","ppm"
"SO2","2021-05-15","23:00 - 0:00","0.001","ppm"
"SO2","2021-05-15","0:00 - 1:00","0.001","ppm"
"SO2","2021-05-15","1:00 - 2:00","0.001","ppm"
"SO2","2021-05-15","2:00 - 3:00","0.002","ppm"
"SO2","2021-05-15","3:00 - 4:00","0.002","ppm"
"SO2","2021-05-15","4:00 - 5:00","0.002","ppm"
"SO2","2021-05-15","5:00 - 6:00","0.002","ppm"
"SO2","2021-05-15","6:00 - 7:00","0.002","ppm"
"SO2","2021-05-15","7:00 - 8:00","0.002","ppm"
"SO2","2021-05-15","8:00 - 9:00","0.002","ppm"
"SO2","2021-05-15","9:00 - 10:00","0.006","ppm"
"SO2","2021-05-15","10:00 - 11:00","0.006","ppm"
"SO2","2021-05-15","11:00 - 12:00","0.005","ppm"
"SO2","2021-05-15","12:00 - 13:00","0.004","ppm"
"SO2","2021-05-15","13:00 - 14:00","0.003","ppm"
"SO2","2021-05-15","14:00 - 15:00","0.004","ppm"
"SO2","2021-05-15","15:00 - 16:00","0.004","ppm"
"SO2","2021-05-15","16:00 - 17:00","0.004","ppm"
"SO2","2021-05-15","17:00 - 18:00","0.003","ppm"
"SO2","2021-05-15","18:00 - 19:00","0.002","ppm"
"SO2","2021-05-15","19:00 - 20:00","0.002","ppm"
"SO2","2021-05-15","20:00 - 21:00","0.002","ppm"
"SO2","2021-05-15","21:00 - 22:00","0.002","ppm"
"SO2","2021-05-15","22:00 - 23:00","0.002","ppm"
"SO2","2021-05-16","23:00 - 0:00","0.003","ppm"
"SO2","2021-05-16","7:00 - 8:00","0.002","ppm"
"SO2","2021-05-16","8:00 - 9:00","0.002","ppm"
"SO2","2021-05-16","9:00 - 10:00","0.003","ppm"
"SO2","2021-05-16","10:00 - 11:00","0.003","ppm"
"SO2","2021-05-16","11:00 - 12:00","0.003","ppm"
"SO2","2021-05-16","12:00 - 13:00","0.003","ppm"
"SO2","2021-05-16","13:00 - 14:00","0.003","ppm"
"SO2","2021-05-16","14:00 - 15:00","0.002","ppm"
"SO2","2021-05-16","15:00 - 16:00","0.002","ppm"
"SO2","2021-05-16","16:00 - 17:00","0.003","ppm"
"SO2","2021-05-16","17:00 - 18:00","0.002","ppm"
"SO2","2021-05-16","18:00 - 19:00","0.002","ppm"
"SO2","2021-05-16","19:00 - 20:00","0.002","ppm"
"SO2","2021-05-16","20:00 - 21:00","0.002","ppm"
"SO2","2021-05-16","21:00 - 22:00","0.002","ppm"
"SO2","2021-05-16","22:00 - 23:00","0.002","ppm"
"SO2","2021-05-17","23:00 - 0:00","0.001","ppm"
"SO2","2021-05-17","0:00 - 1:00","0.002","ppm"
"SO2","2021-05-17","1:00 - 2:00","0.002","ppm"
"SO2","2021-05-17","2:00 - 3:00","0.002","ppm"
"SO2","2021-05-17","3:00 - 4:00","0.002","ppm"
"SO2","2021-05-17","4:00 - 5:00","0.001","ppm"
"SO2","2021-05-17","5:00 - 6:00","0.002","ppm"
"SO2","2021-05-17","6:00 - 7:00","0.002","ppm"
"SO2","2021-05-17","7:00 - 8:00","0.003","ppm"
"SO2","2021-05-17","8:00 - 9:00","0.002","ppm"
"SO2","2021-05-17","9:00 - 10:00","0.003","ppm"
"SO2","2021-05-17","10:00 - 11:00","0.002","ppm"
"SO2","2021-05-17","11:00 - 12:00","0.002","ppm"
"SO2","2021-05-17","12:00 - 13:00","0.001","ppm"
"SO2","2021-05-17","13:00 - 14:00","0.001","ppm"
"SO2","2021-05-17","14:00 - 15:00","0.001","ppm"
"SO2","2021-05-17","15:00 - 16:00","0.001","ppm"
"SO2","2021-05-17","16:00 - 17:00","0.001","ppm"
"SO2","2021-05-17","17:00 - 18:00","0.001","ppm"
"SO2","2021-05-17","18:00 - 19:00","0.001","ppm"
"SO2","2021-05-17","19:00 - 20:00","0.001","ppm"
"SO2","2021-05-17","20:00 - 21:00","0.001","ppm"
"SO2","2021-05-17","21:00 - 22:00","0.001","ppm"
"SO2","2021-05-17","22:00 - 23:00","0.001","ppm"
"SO2","2021-05-18","23:00 - 0:00","0.001","ppm"
"SO2","2021-05-18","1:00 - 2:00","0.001","ppm"
"SO2","2021-05-18","2:00 - 3:00","0.001","ppm"
"SO2","2021-05-18","3:00 - 4:00","0.001","ppm"
"SO2","2021-05-18","4:00 - 5:00","0.001","ppm"
"SO2","2021-05-18","5:00 - 6:00","0.001","ppm"
"SO2","2021-05-18","6:00 - 7:00","0.002","ppm"
"SO2","2021-05-18","7:00 - 8:00","0.003","ppm"
"SO2","2021-05-18","8:00 - 9:00","0.003","ppm"
"SO2","2021-05-18","9:00 - 10:00","0.003","ppm"
"SO2","2021-05-18","10:00 - 11:00","0.002","ppm"
"SO2","2021-05-18","11:00 - 12:00","0.003","ppm"
"SO2","2021-05-18","12:00 - 13:00","0.002","ppm"
"SO2","2021-05-18","13:00 - 14:00","0.001","ppm"
"SO2","2021-05-18","14:00 - 15:00","0.001","ppm"
"SO2","2021-05-18","15:00 - 16:00","0.002","ppm"
"SO2","2021-05-18","16:00 - 17:00","0.002","ppm"
"SO2","2021-05-18","17:00 - 18:00","0.001","ppm"
"SO2","2021-05-18","18:00 - 19:00","0.001","ppm"
"SO2","2021-05-18","19:00 - 20:00","0.002","ppm"
"SO2","2021-05-18","20:00 - 21:00","0.002","ppm"
"SO2","2021-05-18","21:00 - 22:00","0.003","ppm"
"SO2","2021-05-18","22:00 - 23:00","0.002","ppm"
"SO2","2021-05-19","23:00 - 0:00","0.002","ppm"
"SO2","2021-05-19","0:00 - 1:00","0.002","ppm"
"SO2","2021-05-19","1:00 - 2:00","0.001","ppm"
"SO2","2021-05-19","2:00 - 3:00","0.001","ppm"
"SO2","2021-05-19","3:00 - 4:00","0.001","ppm"
"SO2","2021-05-19","4:00 - 5:00","0.001","ppm"
"SO2","2021-05-19","5:00 - 6:00","0.002","ppm"
"SO2","2021-05-19","6:00 - 7:00","0.003","ppm"
"SO2","2021-05-19","7:00 - 8:00","0.003","ppm"
"SO2","2021-05-19","8:00 - 9:00","0.003","ppm"
"SO2","2021-05-19","9:00 - 10:00","0.003","ppm"
"SO2","2021-05-19","10:00 - 11:00","0.002","ppm"
"SO2","2021-05-19","15:00 - 16:00","0.001","ppm"
"SO2","2021-05-19","16:00 - 17:00","0.001","ppm"
"SO2","2021-05-19","17:00 - 18:00","0.001","ppm"
"SO2","2021-05-19","18:00 - 19:00","0.001","ppm"
"SO2","2021-05-19","19:00 - 20:00","0.001","ppm"
"SO2","2021-05-19","20:00 - 21:00","0.001","ppm"
"SO2","2021-05-19","21:00 - 22:00","0.001","ppm"
"SO2","2021-05-19","22:00 - 23:00","0.001","ppm"
"SO2","2021-05-20","23:00 - 0:00","0.001","ppm"
"SO2","2021-05-20","4:00 - 5:00","0.005","ppm"
"SO2","2021-05-20","5:00 - 6:00","0.003","ppm"
"SO2","2021-05-20","6:00 - 7:00","0.003","ppm"
"SO2","2021-05-20","7:00 - 8:00","0.005","ppm"
