"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2021-01-21","2:00 - 3:00","14","µg/m³"
"PM2.5","2021-01-21","3:00 - 4:00","16","µg/m³"
"PM2.5","2021-01-21","4:00 - 5:00","26","µg/m³"
"PM2.5","2021-01-21","5:00 - 6:00","21","µg/m³"
"PM2.5","2021-01-21","6:00 - 7:00","12","µg/m³"
"PM2.5","2021-01-21","7:00 - 8:00","16","µg/m³"
"PM2.5","2021-01-21","8:00 - 9:00","26","µg/m³"
"PM2.5","2021-01-21","9:00 - 10:00","29","µg/m³"
"PM2.5","2021-01-21","10:00 - 11:00","31","µg/m³"
"PM2.5","2021-01-21","11:00 - 12:00","32","µg/m³"
"PM2.5","2021-01-21","12:00 - 13:00","39","µg/m³"
"PM2.5","2021-01-21","13:00 - 14:00","32","µg/m³"
"PM2.5","2021-01-21","14:00 - 15:00","17","µg/m³"
"PM2.5","2021-01-21","15:00 - 16:00","10","µg/m³"
"PM2.5","2021-01-21","16:00 - 17:00","14","µg/m³"
"PM2.5","2021-01-21","17:00 - 18:00","16","µg/m³"
"PM2.5","2021-01-21","18:00 - 19:00","19","µg/m³"
"PM2.5","2021-01-21","19:00 - 20:00","15","µg/m³"
"PM2.5","2021-01-21","20:00 - 21:00","13","µg/m³"
"PM2.5","2021-01-21","21:00 - 22:00","21","µg/m³"
"PM2.5","2021-01-21","22:00 - 23:00","29","µg/m³"
"PM2.5","2021-01-22","23:00 - 0:00","29","µg/m³"
"PM2.5","2021-01-22","0:00 - 1:00","23","µg/m³"
"PM2.5","2021-01-22","1:00 - 2:00","22","µg/m³"
"PM2.5","2021-01-22","2:00 - 3:00","23","µg/m³"
"PM2.5","2021-01-22","3:00 - 4:00","24","µg/m³"
"PM2.5","2021-01-22","4:00 - 5:00","13","µg/m³"
"PM2.5","2021-01-22","5:00 - 6:00","20","µg/m³"
"PM2.5","2021-01-22","6:00 - 7:00","29","µg/m³"
"PM2.5","2021-01-22","7:00 - 8:00","24","µg/m³"
"PM2.5","2021-01-22","8:00 - 9:00","53","µg/m³"
"PM2.5","2021-01-22","9:00 - 10:00","48","µg/m³"
"PM2.5","2021-01-22","10:00 - 11:00","44","µg/m³"
"PM2.5","2021-01-22","11:00 - 12:00","36","µg/m³"
"PM2.5","2021-01-22","12:00 - 13:00","23","µg/m³"
"PM2.5","2021-01-22","13:00 - 14:00","19","µg/m³"
"PM2.5","2021-01-22","14:00 - 15:00","24","µg/m³"
"PM2.5","2021-01-22","15:00 - 16:00","17","µg/m³"
"PM2.5","2021-01-22","16:00 - 17:00","25","µg/m³"
"PM2.5","2021-01-22","17:00 - 18:00","18","µg/m³"
"PM2.5","2021-01-22","18:00 - 19:00","21","µg/m³"
"PM2.5","2021-01-22","19:00 - 20:00","22","µg/m³"
"PM2.5","2021-01-22","20:00 - 21:00","22","µg/m³"
"PM2.5","2021-01-22","21:00 - 22:00","23","µg/m³"
"PM2.5","2021-01-22","22:00 - 23:00","36","µg/m³"
"PM2.5","2021-01-23","23:00 - 0:00","36","µg/m³"
"PM2.5","2021-01-23","0:00 - 1:00","39","µg/m³"
"PM2.5","2021-01-23","1:00 - 2:00","27","µg/m³"
"PM2.5","2021-01-23","2:00 - 3:00","20","µg/m³"
"PM2.5","2021-01-23","3:00 - 4:00","25","µg/m³"
"PM2.5","2021-01-23","4:00 - 5:00","22","µg/m³"
"PM2.5","2021-01-23","5:00 - 6:00","18","µg/m³"
"PM2.5","2021-01-23","6:00 - 7:00","27","µg/m³"
"PM2.5","2021-01-23","7:00 - 8:00","30","µg/m³"
"PM2.5","2021-01-23","8:00 - 9:00","32","µg/m³"
"PM2.5","2021-01-23","9:00 - 10:00","31","µg/m³"
"PM2.5","2021-01-23","10:00 - 11:00","36","µg/m³"
"PM2.5","2021-01-23","11:00 - 12:00","38","µg/m³"
"PM2.5","2021-01-23","12:00 - 13:00","31","µg/m³"
"PM2.5","2021-01-23","13:00 - 14:00","26","µg/m³"
"PM2.5","2021-01-23","14:00 - 15:00","23","µg/m³"
"PM2.5","2021-01-23","15:00 - 16:00","15","µg/m³"
"PM2.5","2021-01-23","16:00 - 17:00","22","µg/m³"
"PM2.5","2021-01-23","17:00 - 18:00","25","µg/m³"
"PM2.5","2021-01-23","18:00 - 19:00","24","µg/m³"
"PM2.5","2021-01-23","19:00 - 20:00","35","µg/m³"
"PM2.5","2021-01-23","20:00 - 21:00","29","µg/m³"
"PM2.5","2021-01-23","21:00 - 22:00","18","µg/m³"
"PM2.5","2021-01-23","22:00 - 23:00","20","µg/m³"
"PM2.5","2021-01-24","23:00 - 0:00","20","µg/m³"
"PM2.5","2021-01-24","0:00 - 1:00","29","µg/m³"
"PM2.5","2021-01-24","1:00 - 2:00","35","µg/m³"
