"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2021-09-07","23:00 - 0:00","19","µg/m³"
"PM10","2021-09-07","0:00 - 1:00","9","µg/m³"
"PM10","2021-09-07","1:00 - 2:00","17","µg/m³"
"PM10","2021-09-07","2:00 - 3:00","8","µg/m³"
"PM10","2021-09-07","3:00 - 4:00","5","µg/m³"
"PM10","2021-09-07","4:00 - 5:00","15","µg/m³"
"PM10","2021-09-07","5:00 - 6:00","4","µg/m³"
"PM10","2021-09-07","6:00 - 7:00","11","µg/m³"
"PM10","2021-09-07","7:00 - 8:00","12","µg/m³"
"PM10","2021-09-07","8:00 - 9:00","17","µg/m³"
"PM10","2021-09-07","9:00 - 10:00","16","µg/m³"
"PM10","2021-09-07","10:00 - 11:00","18","µg/m³"
"PM10","2021-09-07","11:00 - 12:00","23","µg/m³"
"PM10","2021-09-07","12:00 - 13:00","23","µg/m³"
"PM10","2021-09-07","13:00 - 14:00","27","µg/m³"
"PM10","2021-09-07","14:00 - 15:00","36","µg/m³"
"PM10","2021-09-07","15:00 - 16:00","43","µg/m³"
"PM10","2021-09-07","16:00 - 17:00","47","µg/m³"
"PM10","2021-09-07","17:00 - 18:00","16","µg/m³"
"PM10","2021-09-07","18:00 - 19:00","15","µg/m³"
"PM10","2021-09-07","19:00 - 20:00","7","µg/m³"
"PM10","2021-09-08","0:00 - 1:00","0","µg/m³"
"PM10","2021-09-08","1:00 - 2:00","0","µg/m³"
"PM10","2021-09-08","2:00 - 3:00","13","µg/m³"
"PM10","2021-09-08","3:00 - 4:00","12","µg/m³"
"PM10","2021-09-08","4:00 - 5:00","11","µg/m³"
"PM10","2021-09-08","5:00 - 6:00","9","µg/m³"
"PM10","2021-09-08","6:00 - 7:00","12","µg/m³"
"PM10","2021-09-08","7:00 - 8:00","17","µg/m³"
"PM10","2021-09-08","8:00 - 9:00","16","µg/m³"
"PM10","2021-09-08","9:00 - 10:00","19","µg/m³"
"PM10","2021-09-08","10:00 - 11:00","20","µg/m³"
"PM10","2021-09-08","11:00 - 12:00","23","µg/m³"
"PM10","2021-09-08","12:00 - 13:00","35","µg/m³"
"PM10","2021-09-08","13:00 - 14:00","27","µg/m³"
"PM10","2021-09-08","14:00 - 15:00","22","µg/m³"
"PM10","2021-09-08","15:00 - 16:00","12","µg/m³"
"PM10","2021-09-08","16:00 - 17:00","10","µg/m³"
"PM10","2021-09-08","17:00 - 18:00","7","µg/m³"
"PM10","2021-09-08","18:00 - 19:00","27","µg/m³"
"PM10","2021-09-08","19:00 - 20:00","23","µg/m³"
"PM10","2021-09-08","20:00 - 21:00","16","µg/m³"
"PM10","2021-09-08","21:00 - 22:00","7","µg/m³"
"PM10","2021-09-08","22:00 - 23:00","9","µg/m³"
"PM10","2021-09-09","23:00 - 0:00","13","µg/m³"
"PM10","2021-09-09","0:00 - 1:00","11","µg/m³"
"PM10","2021-09-09","1:00 - 2:00","12","µg/m³"
"PM10","2021-09-09","2:00 - 3:00","8","µg/m³"
"PM10","2021-09-09","3:00 - 4:00","15","µg/m³"
"PM10","2021-09-09","4:00 - 5:00","14","µg/m³"
"PM10","2021-09-09","5:00 - 6:00","15","µg/m³"
"PM10","2021-09-09","6:00 - 7:00","19","µg/m³"
"PM10","2021-09-09","7:00 - 8:00","23","µg/m³"
"PM10","2021-09-09","8:00 - 9:00","24","µg/m³"
"PM10","2021-09-09","9:00 - 10:00","25","µg/m³"
"PM10","2021-09-09","10:00 - 11:00","27","µg/m³"
"PM10","2021-09-09","11:00 - 12:00","25","µg/m³"
"PM10","2021-09-09","12:00 - 13:00","27","µg/m³"
"PM10","2021-09-09","13:00 - 14:00","27","µg/m³"
"PM10","2021-09-09","14:00 - 15:00","24","µg/m³"
"PM10","2021-09-09","15:00 - 16:00","18","µg/m³"
"PM10","2021-09-09","16:00 - 17:00","15","µg/m³"
"PM10","2021-09-09","17:00 - 18:00","13","µg/m³"
"PM10","2021-09-09","18:00 - 19:00","16","µg/m³"
"PM10","2021-09-09","19:00 - 20:00","17","µg/m³"
"PM10","2021-09-09","20:00 - 21:00","10","µg/m³"
"PM10","2021-09-09","21:00 - 22:00","9","µg/m³"
"PM10","2021-09-09","22:00 - 23:00","11","µg/m³"
"PM10","2021-09-10","23:00 - 0:00","11","µg/m³"
"PM10","2021-09-10","0:00 - 1:00","13","µg/m³"
"PM10","2021-09-10","1:00 - 2:00","14","µg/m³"
"PM10","2021-09-10","2:00 - 3:00","19","µg/m³"
"PM10","2021-09-10","3:00 - 4:00","16","µg/m³"
"PM10","2021-09-10","4:00 - 5:00","14","µg/m³"
"PM10","2021-09-10","5:00 - 6:00","10","µg/m³"
"PM10","2021-09-10","6:00 - 7:00","14","µg/m³"
"PM10","2021-09-10","7:00 - 8:00","18","µg/m³"
"PM10","2021-09-10","8:00 - 9:00","16","µg/m³"
"PM10","2021-09-10","9:00 - 10:00","17","µg/m³"
"PM10","2021-09-10","10:00 - 11:00","15","µg/m³"
"PM10","2021-09-10","11:00 - 12:00","18","µg/m³"
"PM10","2021-09-10","12:00 - 13:00","23","µg/m³"
"PM10","2021-09-10","13:00 - 14:00","26","µg/m³"
