"Parámetro","Fecha","Hora","Valor","Unidad"
"O3","2021-08-11","7:00 - 8:00","0.002","ppm"
"O3","2021-08-11","8:00 - 9:00","0.003","ppm"
"O3","2021-08-11","9:00 - 10:00","0.004","ppm"
"O3","2021-08-11","10:00 - 11:00","0.011","ppm"
"O3","2021-08-11","11:00 - 12:00","0.028","ppm"
"O3","2021-08-11","12:00 - 13:00","0.045","ppm"
"O3","2021-08-11","13:00 - 14:00","0.061","ppm"
"O3","2021-08-11","14:00 - 15:00","0.081","ppm"
"O3","2021-08-11","15:00 - 16:00","0.091","ppm"
"O3","2021-08-11","16:00 - 17:00","0.077","ppm"
"O3","2021-08-11","17:00 - 18:00","0.057","ppm"
"O3","2021-08-11","18:00 - 19:00","0.039","ppm"
"O3","2021-08-11","19:00 - 20:00","0.028","ppm"
"O3","2021-08-11","20:00 - 21:00","0.032","ppm"
"O3","2021-08-11","21:00 - 22:00","0.016","ppm"
"O3","2021-08-11","22:00 - 23:00","0.019","ppm"
"O3","2021-08-12","23:00 - 0:00","0.013","ppm"
"O3","2021-08-12","4:00 - 5:00","0.004","ppm"
"O3","2021-08-12","5:00 - 6:00","0.003","ppm"
"O3","2021-08-12","6:00 - 7:00","0.002","ppm"
"O3","2021-08-12","7:00 - 8:00","0.002","ppm"
"O3","2021-08-12","8:00 - 9:00","0.003","ppm"
"O3","2021-08-12","9:00 - 10:00","0.005","ppm"
"O3","2021-08-12","10:00 - 11:00","0.012","ppm"
"O3","2021-08-12","11:00 - 12:00","0.025","ppm"
"O3","2021-08-12","12:00 - 13:00","0.047","ppm"
"O3","2021-08-12","13:00 - 14:00","0.073","ppm"
"O3","2021-08-12","14:00 - 15:00","0.102","ppm"
"O3","2021-08-12","15:00 - 16:00","0.093","ppm"
"O3","2021-08-12","16:00 - 17:00","0.089","ppm"
"O3","2021-08-12","17:00 - 18:00","0.053","ppm"
"O3","2021-08-12","18:00 - 19:00","0.035","ppm"
"O3","2021-08-12","19:00 - 20:00","0.029","ppm"
"O3","2021-08-12","20:00 - 21:00","0.023","ppm"
"O3","2021-08-12","21:00 - 22:00","0.015","ppm"
"O3","2021-08-12","22:00 - 23:00","0.032","ppm"
"O3","2021-08-13","23:00 - 0:00","0.030","ppm"
"O3","2021-08-13","0:00 - 1:00","0.019","ppm"
"O3","2021-08-13","3:00 - 4:00","0.016","ppm"
"O3","2021-08-13","4:00 - 5:00","0.016","ppm"
"O3","2021-08-13","5:00 - 6:00","0.006","ppm"
"O3","2021-08-13","6:00 - 7:00","0.001","ppm"
