"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2021-02-07","23:00 - 0:00","61","µg/m³"
"PM10","2021-02-07","0:00 - 1:00","64","µg/m³"
"PM10","2021-02-07","1:00 - 2:00","54","µg/m³"
"PM10","2021-02-07","2:00 - 3:00","54","µg/m³"
"PM10","2021-02-07","3:00 - 4:00","40","µg/m³"
"PM10","2021-02-07","4:00 - 5:00","39","µg/m³"
"PM10","2021-02-07","5:00 - 6:00","36","µg/m³"
"PM10","2021-02-07","6:00 - 7:00","35","µg/m³"
"PM10","2021-02-07","7:00 - 8:00","43","µg/m³"
"PM10","2021-02-07","8:00 - 9:00","43","µg/m³"
"PM10","2021-02-07","9:00 - 10:00","74","µg/m³"
"PM10","2021-02-07","10:00 - 11:00","69","µg/m³"
"PM10","2021-02-07","11:00 - 12:00","75","µg/m³"
"PM10","2021-02-07","12:00 - 13:00","70","µg/m³"
"PM10","2021-02-07","13:00 - 14:00","57","µg/m³"
"PM10","2021-02-07","14:00 - 15:00","37","µg/m³"
"PM10","2021-02-07","15:00 - 16:00","33","µg/m³"
"PM10","2021-02-07","17:00 - 18:00","0","µg/m³"
"PM10","2021-02-07","19:00 - 20:00","53","µg/m³"
"PM10","2021-02-07","20:00 - 21:00","57","µg/m³"
"PM10","2021-02-07","21:00 - 22:00","41","µg/m³"
"PM10","2021-02-07","22:00 - 23:00","37","µg/m³"
"PM10","2021-02-08","23:00 - 0:00","41","µg/m³"
"PM10","2021-02-08","0:00 - 1:00","39","µg/m³"
"PM10","2021-02-08","1:00 - 2:00","47","µg/m³"
"PM10","2021-02-08","2:00 - 3:00","59","µg/m³"
"PM10","2021-02-08","3:00 - 4:00","29","µg/m³"
"PM10","2021-02-08","4:00 - 5:00","24","µg/m³"
"PM10","2021-02-08","5:00 - 6:00","22","µg/m³"
"PM10","2021-02-08","6:00 - 7:00","28","µg/m³"
"PM10","2021-02-08","7:00 - 8:00","32","µg/m³"
"PM10","2021-02-08","8:00 - 9:00","62","µg/m³"
"PM10","2021-02-08","9:00 - 10:00","95","µg/m³"
"PM10","2021-02-08","10:00 - 11:00","71","µg/m³"
"PM10","2021-02-08","11:00 - 12:00","51","µg/m³"
"PM10","2021-02-08","12:00 - 13:00","18","µg/m³"
"PM10","2021-02-08","13:00 - 14:00","6","µg/m³"
"PM10","2021-02-08","14:00 - 15:00","19","µg/m³"
"PM10","2021-02-08","15:00 - 16:00","24","µg/m³"
"PM10","2021-02-08","16:00 - 17:00","14","µg/m³"
"PM10","2021-02-08","17:00 - 18:00","40","µg/m³"
"PM10","2021-02-08","18:00 - 19:00","36","µg/m³"
"PM10","2021-02-08","19:00 - 20:00","43","µg/m³"
"PM10","2021-02-08","20:00 - 21:00","66","µg/m³"
"PM10","2021-02-08","21:00 - 22:00","53","µg/m³"
"PM10","2021-02-08","22:00 - 23:00","58","µg/m³"
"PM10","2021-02-09","23:00 - 0:00","58","µg/m³"
"PM10","2021-02-09","0:00 - 1:00","50","µg/m³"
"PM10","2021-02-09","1:00 - 2:00","40","µg/m³"
"PM10","2021-02-09","2:00 - 3:00","36","µg/m³"
"PM10","2021-02-09","3:00 - 4:00","35","µg/m³"
"PM10","2021-02-09","4:00 - 5:00","38","µg/m³"
"PM10","2021-02-09","5:00 - 6:00","35","µg/m³"
"PM10","2021-02-09","6:00 - 7:00","38","µg/m³"
"PM10","2021-02-09","7:00 - 8:00","54","µg/m³"
"PM10","2021-02-09","8:00 - 9:00","92","µg/m³"
"PM10","2021-02-09","9:00 - 10:00","82","µg/m³"
"PM10","2021-02-09","10:00 - 11:00","78","µg/m³"
