"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2021-07-07","2:00 - 3:00","31","µg/m³"
"PM2.5","2021-07-07","3:00 - 4:00","14","µg/m³"
"PM2.5","2021-07-07","4:00 - 5:00","15","µg/m³"
"PM2.5","2021-07-07","5:00 - 6:00","27","µg/m³"
"PM2.5","2021-07-07","6:00 - 7:00","24","µg/m³"
"PM2.5","2021-07-07","7:00 - 8:00","27","µg/m³"
"PM2.5","2021-07-07","8:00 - 9:00","38","µg/m³"
"PM2.5","2021-07-07","9:00 - 10:00","46","µg/m³"
"PM2.5","2021-07-07","10:00 - 11:00","43","µg/m³"
"PM2.5","2021-07-07","11:00 - 12:00","67","µg/m³"
"PM2.5","2021-07-07","12:00 - 13:00","69","µg/m³"
"PM2.5","2021-07-07","13:00 - 14:00","76","µg/m³"
"PM2.5","2021-07-07","14:00 - 15:00","57","µg/m³"
"PM2.5","2021-07-07","15:00 - 16:00","34","µg/m³"
"PM2.5","2021-07-07","16:00 - 17:00","37","µg/m³"
"PM2.5","2021-07-07","17:00 - 18:00","27","µg/m³"
"PM2.5","2021-07-07","18:00 - 19:00","25","µg/m³"
"PM2.5","2021-07-07","19:00 - 20:00","19","µg/m³"
"PM2.5","2021-07-07","20:00 - 21:00","22","µg/m³"
"PM2.5","2021-07-07","21:00 - 22:00","25","µg/m³"
"PM2.5","2021-07-07","22:00 - 23:00","25","µg/m³"
"PM2.5","2021-07-08","23:00 - 0:00","22","µg/m³"
"PM2.5","2021-07-08","0:00 - 1:00","32","µg/m³"
"PM2.5","2021-07-08","6:00 - 7:00","47","µg/m³"
"PM2.5","2021-07-08","7:00 - 8:00","44","µg/m³"
"PM2.5","2021-07-08","8:00 - 9:00","43","µg/m³"
"PM2.5","2021-07-08","9:00 - 10:00","17","µg/m³"
"PM2.5","2021-07-08","10:00 - 11:00","7","µg/m³"
"PM2.5","2021-07-08","11:00 - 12:00","8","µg/m³"
"PM2.5","2021-07-08","12:00 - 13:00","20","µg/m³"
"PM2.5","2021-07-08","13:00 - 14:00","20","µg/m³"
"PM2.5","2021-07-08","14:00 - 15:00","16","µg/m³"
"PM2.5","2021-07-08","15:00 - 16:00","12","µg/m³"
"PM2.5","2021-07-08","16:00 - 17:00","13","µg/m³"
"PM2.5","2021-07-08","17:00 - 18:00","3","µg/m³"
"PM2.5","2021-07-08","18:00 - 19:00","20","µg/m³"
"PM2.5","2021-07-08","19:00 - 20:00","35","µg/m³"
"PM2.5","2021-07-08","20:00 - 21:00","28","µg/m³"
"PM2.5","2021-07-08","21:00 - 22:00","31","µg/m³"
"PM2.5","2021-07-08","22:00 - 23:00","33","µg/m³"
"PM2.5","2021-07-09","3:00 - 4:00","1","µg/m³"
"PM2.5","2021-07-09","4:00 - 5:00","2","µg/m³"
"PM2.5","2021-07-09","5:00 - 6:00","6","µg/m³"
"PM2.5","2021-07-09","6:00 - 7:00","9","µg/m³"
"PM2.5","2021-07-09","7:00 - 8:00","16","µg/m³"
"PM2.5","2021-07-09","8:00 - 9:00","15","µg/m³"
"PM2.5","2021-07-09","9:00 - 10:00","14","µg/m³"
"PM2.5","2021-07-09","10:00 - 11:00","15","µg/m³"
"PM2.5","2021-07-09","11:00 - 12:00","22","µg/m³"
"PM2.5","2021-07-09","12:00 - 13:00","26","µg/m³"
"PM2.5","2021-07-09","13:00 - 14:00","8","µg/m³"
"PM2.5","2021-07-09","15:00 - 16:00","11","µg/m³"
"PM2.5","2021-07-09","16:00 - 17:00","9","µg/m³"
"PM2.5","2021-07-09","17:00 - 18:00","6","µg/m³"
"PM2.5","2021-07-09","18:00 - 19:00","22","µg/m³"
"PM2.5","2021-07-09","19:00 - 20:00","3","µg/m³"
"PM2.5","2021-07-09","20:00 - 21:00","22","µg/m³"
"PM2.5","2021-07-09","21:00 - 22:00","16","µg/m³"
"PM2.5","2021-07-09","22:00 - 23:00","18","µg/m³"
"PM2.5","2021-07-10","2:00 - 3:00","19","µg/m³"
"PM2.5","2021-07-10","3:00 - 4:00","19","µg/m³"
"PM2.5","2021-07-10","4:00 - 5:00","20","µg/m³"
"PM2.5","2021-07-10","5:00 - 6:00","16","µg/m³"
"PM2.5","2021-07-10","6:00 - 7:00","9","µg/m³"
"PM2.5","2021-07-10","7:00 - 8:00","13","µg/m³"
"PM2.5","2021-07-10","8:00 - 9:00","18","µg/m³"
"PM2.5","2021-07-10","9:00 - 10:00","14","µg/m³"
"PM2.5","2021-07-10","10:00 - 11:00","22","µg/m³"
"PM2.5","2021-07-10","11:00 - 12:00","30","µg/m³"
"PM2.5","2021-07-10","12:00 - 13:00","30","µg/m³"
"PM2.5","2021-07-10","13:00 - 14:00","32","µg/m³"
"PM2.5","2021-07-10","14:00 - 15:00","35","µg/m³"
"PM2.5","2021-07-10","15:00 - 16:00","44","µg/m³"
"PM2.5","2021-07-10","16:00 - 17:00","24","µg/m³"
"PM2.5","2021-07-10","17:00 - 18:00","6","µg/m³"
"PM2.5","2021-07-10","18:00 - 19:00","11","µg/m³"
"PM2.5","2021-07-10","19:00 - 20:00","19","µg/m³"
"PM2.5","2021-07-10","20:00 - 21:00","18","µg/m³"
"PM2.5","2021-07-10","21:00 - 22:00","21","µg/m³"
"PM2.5","2021-07-10","22:00 - 23:00","18","µg/m³"
"PM2.5","2021-07-11","3:00 - 4:00","14","µg/m³"
