"Parámetro","Fecha","Hora","Valor","Unidad"
"SO2","2021-09-08","1:00 - 2:00","0.001","ppm"
"SO2","2021-09-08","2:00 - 3:00","0.001","ppm"
"SO2","2021-09-08","3:00 - 4:00","0.001","ppm"
"SO2","2021-09-08","4:00 - 5:00","0.001","ppm"
"SO2","2021-09-08","5:00 - 6:00","0.001","ppm"
"SO2","2021-09-08","6:00 - 7:00","0.002","ppm"
"SO2","2021-09-08","7:00 - 8:00","0.002","ppm"
"SO2","2021-09-08","8:00 - 9:00","0.003","ppm"
"SO2","2021-09-08","9:00 - 10:00","0.002","ppm"
"SO2","2021-09-08","10:00 - 11:00","0.002","ppm"
"SO2","2021-09-08","11:00 - 12:00","0.002","ppm"
"SO2","2021-09-08","12:00 - 13:00","0.001","ppm"
"SO2","2021-09-08","13:00 - 14:00","0.001","ppm"
"SO2","2021-09-08","14:00 - 15:00","0.001","ppm"
"SO2","2021-09-08","15:00 - 16:00","0.001","ppm"
"SO2","2021-09-08","16:00 - 17:00","0.001","ppm"
"SO2","2021-09-08","17:00 - 18:00","0.001","ppm"
"SO2","2021-09-08","18:00 - 19:00","0.002","ppm"
"SO2","2021-09-08","19:00 - 20:00","0.003","ppm"
"SO2","2021-09-08","20:00 - 21:00","0.001","ppm"
"SO2","2021-09-08","21:00 - 22:00","0.001","ppm"
"SO2","2021-09-08","22:00 - 23:00","0.001","ppm"
