"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2021-01-07","23:00 - 0:00","27","µg/m³"
"PM10","2021-01-07","0:00 - 1:00","35","µg/m³"
"PM10","2021-01-07","1:00 - 2:00","29","µg/m³"
"PM10","2021-01-07","2:00 - 3:00","28","µg/m³"
"PM10","2021-01-07","3:00 - 4:00","36","µg/m³"
"PM10","2021-01-07","4:00 - 5:00","31","µg/m³"
"PM10","2021-01-07","5:00 - 6:00","40","µg/m³"
"PM10","2021-01-07","6:00 - 7:00","37","µg/m³"
"PM10","2021-01-07","7:00 - 8:00","40","µg/m³"
"PM10","2021-01-07","8:00 - 9:00","47","µg/m³"
"PM10","2021-01-07","9:00 - 10:00","48","µg/m³"
"PM10","2021-01-07","10:00 - 11:00","49","µg/m³"
"PM10","2021-01-07","11:00 - 12:00","64","µg/m³"
"PM10","2021-01-07","12:00 - 13:00","61","µg/m³"
"PM10","2021-01-07","13:00 - 14:00","67","µg/m³"
"PM10","2021-01-07","14:00 - 15:00","73","µg/m³"
"PM10","2021-01-07","15:00 - 16:00","69","µg/m³"
"PM10","2021-01-07","16:00 - 17:00","54","µg/m³"
"PM10","2021-01-07","17:00 - 18:00","44","µg/m³"
"PM10","2021-01-07","18:00 - 19:00","46","µg/m³"
"PM10","2021-01-07","19:00 - 20:00","44","µg/m³"
"PM10","2021-01-07","20:00 - 21:00","42","µg/m³"
"PM10","2021-01-07","21:00 - 22:00","73","µg/m³"
"PM10","2021-01-07","22:00 - 23:00","77","µg/m³"
"PM10","2021-01-08","23:00 - 0:00","77","µg/m³"
"PM10","2021-01-08","0:00 - 1:00","55","µg/m³"
"PM10","2021-01-08","1:00 - 2:00","50","µg/m³"
"PM10","2021-01-08","2:00 - 3:00","48","µg/m³"
"PM10","2021-01-08","3:00 - 4:00","49","µg/m³"
"PM10","2021-01-08","5:00 - 6:00","59","µg/m³"
"PM10","2021-01-08","6:00 - 7:00","63","µg/m³"
"PM10","2021-01-08","7:00 - 8:00","66","µg/m³"
"PM10","2021-01-08","8:00 - 9:00","74","µg/m³"
"PM10","2021-01-08","9:00 - 10:00","76","µg/m³"
"PM10","2021-01-08","10:00 - 11:00","84","µg/m³"
"PM10","2021-01-08","11:00 - 12:00","86","µg/m³"
"PM10","2021-01-08","12:00 - 13:00","55","µg/m³"
"PM10","2021-01-08","13:00 - 14:00","32","µg/m³"
"PM10","2021-01-08","14:00 - 15:00","39","µg/m³"
"PM10","2021-01-08","15:00 - 16:00","45","µg/m³"
"PM10","2021-01-08","16:00 - 17:00","43","µg/m³"
"PM10","2021-01-08","17:00 - 18:00","62","µg/m³"
"PM10","2021-01-08","18:00 - 19:00","37","µg/m³"
"PM10","2021-01-08","19:00 - 20:00","38","µg/m³"
"PM10","2021-01-08","20:00 - 21:00","50","µg/m³"
"PM10","2021-01-08","21:00 - 22:00","37","µg/m³"
"PM10","2021-01-08","22:00 - 23:00","42","µg/m³"
"PM10","2021-01-09","23:00 - 0:00","42","µg/m³"
"PM10","2021-01-09","0:00 - 1:00","57","µg/m³"
"PM10","2021-01-09","1:00 - 2:00","48","µg/m³"
"PM10","2021-01-09","2:00 - 3:00","47","µg/m³"
"PM10","2021-01-09","3:00 - 4:00","38","µg/m³"
"PM10","2021-01-09","4:00 - 5:00","39","µg/m³"
"PM10","2021-01-09","5:00 - 6:00","37","µg/m³"
"PM10","2021-01-09","6:00 - 7:00","45","µg/m³"
"PM10","2021-01-09","7:00 - 8:00","40","µg/m³"
"PM10","2021-01-09","8:00 - 9:00","48","µg/m³"
"PM10","2021-01-09","9:00 - 10:00","62","µg/m³"
"PM10","2021-01-09","10:00 - 11:00","90","µg/m³"
"PM10","2021-01-09","11:00 - 12:00","74","µg/m³"
"PM10","2021-01-09","12:00 - 13:00","41","µg/m³"
"PM10","2021-01-09","13:00 - 14:00","33","µg/m³"
"PM10","2021-01-09","14:00 - 15:00","38","µg/m³"
"PM10","2021-01-09","15:00 - 16:00","35","µg/m³"
"PM10","2021-01-09","16:00 - 17:00","39","µg/m³"
"PM10","2021-01-09","17:00 - 18:00","26","µg/m³"
"PM10","2021-01-09","18:00 - 19:00","50","µg/m³"
"PM10","2021-01-09","19:00 - 20:00","30","µg/m³"
"PM10","2021-01-09","20:00 - 21:00","14","µg/m³"
"PM10","2021-01-09","21:00 - 22:00","18","µg/m³"
"PM10","2021-01-09","22:00 - 23:00","18","µg/m³"
"PM10","2021-01-10","23:00 - 0:00","18","µg/m³"
"PM10","2021-01-10","1:00 - 2:00","18","µg/m³"
"PM10","2021-01-10","2:00 - 3:00","19","µg/m³"
"PM10","2021-01-10","3:00 - 4:00","16","µg/m³"
"PM10","2021-01-10","4:00 - 5:00","19","µg/m³"
"PM10","2021-01-10","5:00 - 6:00","30","µg/m³"
"PM10","2021-01-10","6:00 - 7:00","28","µg/m³"
"PM10","2021-01-10","7:00 - 8:00","27","µg/m³"
"PM10","2021-01-10","8:00 - 9:00","33","µg/m³"
"PM10","2021-01-10","9:00 - 10:00","25","µg/m³"
"PM10","2021-01-10","10:00 - 11:00","23","µg/m³"
"PM10","2021-01-10","11:00 - 12:00","13","µg/m³"
"PM10","2021-01-10","12:00 - 13:00","14","µg/m³"
"PM10","2021-01-10","13:00 - 14:00","18","µg/m³"
"PM10","2021-01-10","14:00 - 15:00","36","µg/m³"
"PM10","2021-01-10","15:00 - 16:00","23","µg/m³"
"PM10","2021-01-10","16:00 - 17:00","20","µg/m³"
"PM10","2021-01-10","17:00 - 18:00","24","µg/m³"
"PM10","2021-01-10","18:00 - 19:00","17","µg/m³"
"PM10","2021-01-10","19:00 - 20:00","18","µg/m³"
"PM10","2021-01-10","20:00 - 21:00","20","µg/m³"
"PM10","2021-01-10","21:00 - 22:00","19","µg/m³"
"PM10","2021-01-10","22:00 - 23:00","27","µg/m³"
"PM10","2021-01-11","23:00 - 0:00","27","µg/m³"
"PM10","2021-01-11","0:00 - 1:00","21","µg/m³"
"PM10","2021-01-11","1:00 - 2:00","11","µg/m³"
"PM10","2021-01-11","2:00 - 3:00","25","µg/m³"
"PM10","2021-01-11","3:00 - 4:00","33","µg/m³"
"PM10","2021-01-11","4:00 - 5:00","33","µg/m³"
"PM10","2021-01-11","5:00 - 6:00","37","µg/m³"
"PM10","2021-01-11","6:00 - 7:00","35","µg/m³"
"PM10","2021-01-11","7:00 - 8:00","36","µg/m³"
"PM10","2021-01-11","8:00 - 9:00","40","µg/m³"
"PM10","2021-01-11","9:00 - 10:00","36","µg/m³"
"PM10","2021-01-11","10:00 - 11:00","44","µg/m³"
"PM10","2021-01-11","11:00 - 12:00","36","µg/m³"
"PM10","2021-01-11","12:00 - 13:00","48","µg/m³"
"PM10","2021-01-11","13:00 - 14:00","48","µg/m³"
"PM10","2021-01-11","14:00 - 15:00","24","µg/m³"
"PM10","2021-01-11","15:00 - 16:00","41","µg/m³"
"PM10","2021-01-11","16:00 - 17:00","56","µg/m³"
"PM10","2021-01-11","17:00 - 18:00","44","µg/m³"
"PM10","2021-01-11","18:00 - 19:00","22","µg/m³"
"PM10","2021-01-11","19:00 - 20:00","18","µg/m³"
"PM10","2021-01-11","20:00 - 21:00","18","µg/m³"
"PM10","2021-01-11","21:00 - 22:00","26","µg/m³"
"PM10","2021-01-11","22:00 - 23:00","27","µg/m³"
"PM10","2021-01-12","23:00 - 0:00","27","µg/m³"
"PM10","2021-01-12","0:00 - 1:00","19","µg/m³"
"PM10","2021-01-12","1:00 - 2:00","17","µg/m³"
"PM10","2021-01-12","2:00 - 3:00","22","µg/m³"
