"Parámetro","Fecha","Hora","Valor","Unidad"
"NO2","2021-03-07","23:00 - 0:00","0.039","ppm"
"NO2","2021-03-07","0:00 - 1:00","0.040","ppm"
"NO2","2021-03-07","1:00 - 2:00","0.040","ppm"
"NO2","2021-03-07","2:00 - 3:00","0.025","ppm"
"NO2","2021-03-07","3:00 - 4:00","0.017","ppm"
"NO2","2021-03-07","4:00 - 5:00","0.025","ppm"
"NO2","2021-03-07","5:00 - 6:00","0.030","ppm"
"NO2","2021-03-07","6:00 - 7:00","0.035","ppm"
"NO2","2021-03-07","7:00 - 8:00","0.030","ppm"
"NO2","2021-03-07","8:00 - 9:00","0.035","ppm"
"NO2","2021-03-07","9:00 - 10:00","0.035","ppm"
"NO2","2021-03-07","10:00 - 11:00","0.039","ppm"
"NO2","2021-03-07","11:00 - 12:00","0.034","ppm"
"NO2","2021-03-07","12:00 - 13:00","0.020","ppm"
"NO2","2021-03-07","13:00 - 14:00","0.017","ppm"
"NO2","2021-03-07","14:00 - 15:00","0.013","ppm"
"NO2","2021-03-07","15:00 - 16:00","0.017","ppm"
"NO2","2021-03-07","16:00 - 17:00","0.020","ppm"
"NO2","2021-03-07","17:00 - 18:00","0.018","ppm"
"NO2","2021-03-07","18:00 - 19:00","0.014","ppm"
"NO2","2021-03-07","19:00 - 20:00","0.015","ppm"
"NO2","2021-03-07","20:00 - 21:00","0.027","ppm"
"NO2","2021-03-07","21:00 - 22:00","0.034","ppm"
"NO2","2021-03-07","22:00 - 23:00","0.040","ppm"
"NO2","2021-03-08","23:00 - 0:00","0.037","ppm"
"NO2","2021-03-08","0:00 - 1:00","0.037","ppm"
"NO2","2021-03-08","1:00 - 2:00","0.036","ppm"
"NO2","2021-03-08","2:00 - 3:00","0.037","ppm"
"NO2","2021-03-08","3:00 - 4:00","0.036","ppm"
"NO2","2021-03-08","4:00 - 5:00","0.032","ppm"
"NO2","2021-03-08","5:00 - 6:00","0.034","ppm"
"NO2","2021-03-08","6:00 - 7:00","0.034","ppm"
"NO2","2021-03-08","7:00 - 8:00","0.039","ppm"
"NO2","2021-03-08","8:00 - 9:00","0.037","ppm"
"NO2","2021-03-08","9:00 - 10:00","0.043","ppm"
"NO2","2021-03-08","10:00 - 11:00","0.056","ppm"
"NO2","2021-03-08","11:00 - 12:00","0.058","ppm"
"NO2","2021-03-08","12:00 - 13:00","0.049","ppm"
"NO2","2021-03-08","13:00 - 14:00","0.040","ppm"
"NO2","2021-03-08","14:00 - 15:00","0.021","ppm"
"NO2","2021-03-08","15:00 - 16:00","0.026","ppm"
"NO2","2021-03-08","16:00 - 17:00","0.024","ppm"
"NO2","2021-03-08","17:00 - 18:00","0.028","ppm"
"NO2","2021-03-08","18:00 - 19:00","0.027","ppm"
"NO2","2021-03-08","19:00 - 20:00","0.026","ppm"
"NO2","2021-03-08","20:00 - 21:00","0.022","ppm"
"NO2","2021-03-08","21:00 - 22:00","0.023","ppm"
"NO2","2021-03-08","22:00 - 23:00","0.023","ppm"
"NO2","2021-03-09","3:00 - 4:00","0.024","ppm"
"NO2","2021-03-09","4:00 - 5:00","0.024","ppm"
"NO2","2021-03-09","5:00 - 6:00","0.031","ppm"
"NO2","2021-03-09","6:00 - 7:00","0.035","ppm"
"NO2","2021-03-09","7:00 - 8:00","0.035","ppm"
"NO2","2021-03-09","8:00 - 9:00","0.038","ppm"
"NO2","2021-03-09","9:00 - 10:00","0.052","ppm"
"NO2","2021-03-09","10:00 - 11:00","0.061","ppm"
"NO2","2021-03-09","11:00 - 12:00","0.057","ppm"
"NO2","2021-03-09","12:00 - 13:00","0.042","ppm"
"NO2","2021-03-09","13:00 - 14:00","0.025","ppm"
"NO2","2021-03-09","14:00 - 15:00","0.022","ppm"
"NO2","2021-03-09","15:00 - 16:00","0.015","ppm"
"NO2","2021-03-09","16:00 - 17:00","0.024","ppm"
"NO2","2021-03-09","17:00 - 18:00","0.029","ppm"
"NO2","2021-03-09","18:00 - 19:00","0.029","ppm"
"NO2","2021-03-09","19:00 - 20:00","0.020","ppm"
"NO2","2021-03-09","20:00 - 21:00","0.021","ppm"
"NO2","2021-03-09","21:00 - 22:00","0.032","ppm"
"NO2","2021-03-09","22:00 - 23:00","0.039","ppm"
"NO2","2021-03-10","23:00 - 0:00","0.041","ppm"
"NO2","2021-03-10","0:00 - 1:00","0.041","ppm"
"NO2","2021-03-10","1:00 - 2:00","0.037","ppm"
"NO2","2021-03-10","2:00 - 3:00","0.037","ppm"
"NO2","2021-03-10","3:00 - 4:00","0.035","ppm"
"NO2","2021-03-10","4:00 - 5:00","0.033","ppm"
"NO2","2021-03-10","5:00 - 6:00","0.032","ppm"
"NO2","2021-03-10","6:00 - 7:00","0.040","ppm"
"NO2","2021-03-10","7:00 - 8:00","0.051","ppm"
"NO2","2021-03-10","8:00 - 9:00","0.049","ppm"
"NO2","2021-03-10","9:00 - 10:00","0.062","ppm"
"NO2","2021-03-10","10:00 - 11:00","0.071","ppm"
"NO2","2021-03-10","11:00 - 12:00","0.054","ppm"
"NO2","2021-03-10","12:00 - 13:00","0.032","ppm"
"NO2","2021-03-10","13:00 - 14:00","0.019","ppm"
"NO2","2021-03-10","14:00 - 15:00","0.016","ppm"
"NO2","2021-03-10","15:00 - 16:00","0.018","ppm"
"NO2","2021-03-10","16:00 - 17:00","0.012","ppm"
"NO2","2021-03-10","17:00 - 18:00","0.016","ppm"
"NO2","2021-03-10","18:00 - 19:00","0.025","ppm"
"NO2","2021-03-10","19:00 - 20:00","0.031","ppm"
"NO2","2021-03-10","20:00 - 21:00","0.037","ppm"
"NO2","2021-03-10","21:00 - 22:00","0.054","ppm"
"NO2","2021-03-10","22:00 - 23:00","0.045","ppm"
"NO2","2021-03-11","23:00 - 0:00","0.034","ppm"
"NO2","2021-03-11","0:00 - 1:00","0.030","ppm"
"NO2","2021-03-11","1:00 - 2:00","0.027","ppm"
"NO2","2021-03-11","2:00 - 3:00","0.028","ppm"
"NO2","2021-03-11","3:00 - 4:00","0.030","ppm"
"NO2","2021-03-11","4:00 - 5:00","0.031","ppm"
"NO2","2021-03-11","5:00 - 6:00","0.036","ppm"
"NO2","2021-03-11","6:00 - 7:00","0.040","ppm"
"NO2","2021-03-11","7:00 - 8:00","0.052","ppm"
"NO2","2021-03-11","8:00 - 9:00","0.058","ppm"
"NO2","2021-03-11","9:00 - 10:00","0.064","ppm"
"NO2","2021-03-11","10:00 - 11:00","0.064","ppm"
"NO2","2021-03-11","11:00 - 12:00","0.042","ppm"
"NO2","2021-03-12","23:00 - 0:00","0.040","ppm"
"NO2","2021-03-12","0:00 - 1:00","0.037","ppm"
"NO2","2021-03-12","1:00 - 2:00","0.035","ppm"
"NO2","2021-03-12","2:00 - 3:00","0.036","ppm"
"NO2","2021-03-12","3:00 - 4:00","0.036","ppm"
"NO2","2021-03-12","4:00 - 5:00","0.034","ppm"
"NO2","2021-03-12","5:00 - 6:00","0.034","ppm"
"NO2","2021-03-12","6:00 - 7:00","0.041","ppm"
"NO2","2021-03-12","7:00 - 8:00","0.045","ppm"
"NO2","2021-03-12","8:00 - 9:00","0.041","ppm"
"NO2","2021-03-12","9:00 - 10:00","0.052","ppm"
"NO2","2021-03-12","10:00 - 11:00","0.057","ppm"
"NO2","2021-03-12","11:00 - 12:00","0.044","ppm"
"NO2","2021-03-12","12:00 - 13:00","0.030","ppm"
"NO2","2021-03-12","13:00 - 14:00","0.017","ppm"
"NO2","2021-03-12","14:00 - 15:00","0.012","ppm"
"NO2","2021-03-12","15:00 - 16:00","0.021","ppm"
"NO2","2021-03-12","16:00 - 17:00","0.023","ppm"
"NO2","2021-03-12","17:00 - 18:00","0.031","ppm"
"NO2","2021-03-12","18:00 - 19:00","0.026","ppm"
"NO2","2021-03-12","19:00 - 20:00","0.027","ppm"
"NO2","2021-03-12","20:00 - 21:00","0.030","ppm"
"NO2","2021-03-12","21:00 - 22:00","0.031","ppm"
"NO2","2021-03-12","22:00 - 23:00","0.035","ppm"
"NO2","2021-03-13","23:00 - 0:00","0.029","ppm"
"NO2","2021-03-13","0:00 - 1:00","0.039","ppm"
"NO2","2021-03-13","1:00 - 2:00","0.039","ppm"
"NO2","2021-03-13","2:00 - 3:00","0.033","ppm"
"NO2","2021-03-13","3:00 - 4:00","0.034","ppm"
"NO2","2021-03-13","4:00 - 5:00","0.037","ppm"
"NO2","2021-03-13","5:00 - 6:00","0.036","ppm"
"NO2","2021-03-13","6:00 - 7:00","0.037","ppm"
"NO2","2021-03-13","7:00 - 8:00","0.036","ppm"
"NO2","2021-03-13","8:00 - 9:00","0.041","ppm"
"NO2","2021-03-13","9:00 - 10:00","0.045","ppm"
"NO2","2021-03-13","10:00 - 11:00","0.038","ppm"
"NO2","2021-03-13","11:00 - 12:00","0.036","ppm"
"NO2","2021-03-13","12:00 - 13:00","0.025","ppm"
"NO2","2021-03-13","13:00 - 14:00","0.016","ppm"
"NO2","2021-03-13","14:00 - 15:00","0.012","ppm"
"NO2","2021-03-13","15:00 - 16:00","0.012","ppm"
"NO2","2021-03-13","16:00 - 17:00","0.014","ppm"
"NO2","2021-03-13","17:00 - 18:00","0.014","ppm"
"NO2","2021-03-13","18:00 - 19:00","0.020","ppm"
